node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
4743 4744 250 1.2345 -1.4705 -8.8468 1.4277 -1.5868 -8.9546 0.0400 1.9734 18.6617 2 2 250  
4133 4134 217 1.6247 -0.6585 -8.1193 1.8219 -0.5783 -8.2503 0.0400 1.9804 18.7842 2 2 217  
47 48 1 0.4119 -1.9164 -12.7963 0.3345 -1.9273 -13.0338 0.2000 1.9810 20.0000 1 2 1  
3519 3520 184 1.8142 -1.1796 -7.5909 2.0155 -1.2628 -7.7136 0.0400 1.9887 18.9062 2 2 184  
2903 2904 151 -0.7656 -0.4237 -7.6976 -0.9025 -0.3524 -7.8943 0.0400 1.9983 19.0279 2 2 151  
2282 2283 118 -0.3562 -2.1756 -6.9802 -0.3294 -2.3107 -7.1888 0.0400 2.0091 19.1491 2 2 118  
48 49 1 0.3345 -1.9273 -13.0338 0.2795 -1.9313 -13.1733 0.2000 2.0098 20.0000 1 2 1  
1658 1659 85 1.6952 -0.4178 -6.6272 1.8565 -0.4339 -6.8175 0.0400 2.0213 19.2699 2 2 85  
1030 1031 51 1.9724 -0.8636 -6.0076 2.1304 -0.8581 -6.2013 0.0400 2.0348 19.3903 2 2 51  
400 401 17 -1.9834 -1.3247 -5.3232 -2.1183 -1.3630 -5.5301 0.0400 2.0496 19.5103 2 2 17  
49 50 1 0.2795 -1.9313 -13.1733 0.1842 -1.9406 -13.4042 0.2000 2.0579 20.0000 1 2 1  
40 7745 412 0.6826 -1.8510 -11.2855 0.6483 -1.6520 -11.4330 0.0400 2.0823 18.0430 2 2 412  
7152 7153 380 0.6089 -1.9009 -10.6966 0.7034 -2.1316 -10.7153 0.0400 2.0840 18.1676 2 2 380  
6557 6558 348 0.5410 -1.1419 -10.4613 0.6226 -0.9984 -10.6491 0.0400 2.0868 18.2918 2 2 348  
5957 5958 316 -0.3544 -1.5695 -9.3340 -0.5615 -1.6985 -9.2792 0.0400 2.0909 18.4155 2 2 316  
5352 5353 283 -0.4778 -0.5577 -9.2012 -0.7057 -0.5032 -9.2883 0.0400 2.0962 18.5388 2 2 283  
4744 4745 250 1.4277 -1.5868 -8.9546 1.6186 -1.7024 -9.0674 0.0400 2.1029 18.6617 2 2 250  
50 51 1 0.1842 -1.9406 -13.4042 0.1117 -1.9897 -13.6384 0.2000 2.1061 20.0000 1 2 1  
4134 4135 217 1.8219 -0.5783 -8.2503 2.0149 -0.4985 -8.3876 0.0400 2.1107 18.7842 2 2 217  
3520 3521 184 2.0155 -1.2628 -7.7136 2.2033 -1.3482 -7.8547 0.0400 2.1199 18.9062 2 2 184  
2904 2905 151 -0.9025 -0.3524 -7.8943 -1.0407 -0.3085 -8.0979 0.0400 2.1304 19.0279 2 2 151  
51 52 1 0.1117 -1.9897 -13.6384 0.0719 -2.0066 -13.7820 0.2000 2.1350 20.0000 1 2 1  
2283 2284 118 -0.3294 -2.3107 -7.1888 -0.3118 -2.4180 -7.4139 0.0400 2.1421 19.1491 2 2 118  
1659 1660 85 1.8565 -0.4339 -6.8175 2.0030 -0.4734 -7.0162 0.0400 2.1552 19.2699 2 2 85  
1031 1032 51 2.1304 -0.8581 -6.2013 2.2816 -0.8601 -6.4004 0.0400 2.1696 19.3903 2 2 51  
52 53 1 0.0719 -2.0066 -13.7820 0.0196 -2.0052 -14.0265 0.2000 2.1833 20.0000 1 2 1  
401 402 17 -2.1183 -1.3630 -5.5301 -2.2681 -1.4227 -5.7212 0.0400 2.1853 19.5103 2 2 17  
43 8335 444 0.5922 -1.9137 -11.9176 0.4450 -2.1079 -11.9734 0.0400 2.2074 17.9180 2 2 444  
7745 7746 412 0.6483 -1.6520 -11.4330 0.6129 -1.4522 -11.5789 0.0400 2.2085 18.0430 2 2 412  
7153 7154 380 0.7034 -2.1316 -10.7153 0.8024 -2.3594 -10.6864 0.0400 2.2110 18.1676 2 2 380  
6558 6559 348 0.6226 -0.9984 -10.6491 0.6836 -0.8528 -10.8429 0.0400 2.2146 18.2918 2 2 348  
5958 5959 316 -0.5615 -1.6985 -9.2792 -0.7687 -1.8272 -9.2246 0.0400 2.2196 18.4155 2 2 316  
5353 5354 283 -0.7057 -0.5032 -9.2883 -0.9412 -0.4625 -9.3617 0.0400 2.2257 18.5388 2 2 283  
53 54 1 0.0196 -2.0052 -14.0265 -0.0299 -2.0071 -14.2715 0.2000 2.2316 20.0000 1 2 1  
4745 4746 250 1.6186 -1.7024 -9.0674 1.8182 -1.7763 -9.1985 0.0400 2.2332 18.6617 2 2 250  
4135 4136 217 2.0149 -0.4985 -8.3876 2.2001 -0.4101 -8.5305 0.0400 2.2420 18.7842 2 2 217  
3521 3522 184 2.2033 -1.3482 -7.8547 2.3893 -1.4379 -7.9956 0.0400 2.2520 18.9062 2 2 184  
54 55 1 -0.0299 -2.0071 -14.2715 -0.0528 -2.0227 -14.4189 0.2000 2.2607 20.0000 1 2 1  
2905 2906 151 -1.0407 -0.3085 -8.0979 -1.1949 -0.2358 -8.2808 0.0400 2.2633 19.0279 2 2 151  
2284 2285 118 -0.3118 -2.4180 -7.4139 -0.3086 -2.5107 -7.6461 0.0400 2.2760 19.1491 2 2 118  
1660 1661 85 2.0030 -0.4734 -7.0162 2.1280 -0.5284 -7.2256 0.0400 2.2900 19.2699 2 2 85  
1032 1033 51 2.2816 -0.8601 -6.4004 2.4036 -0.8555 -6.6185 0.0400 2.3053 19.3903 2 2 51  
55 56 1 -0.0528 -2.0227 -14.4189 -0.0859 -2.0438 -14.6658 0.2000 2.3091 20.0000 1 2 1  
402 403 17 -2.2681 -1.4227 -5.7212 -2.4275 -1.4190 -5.9138 0.0400 2.3219 19.5103 2 2 17  
46 8922 476 0.4624 -1.9185 -12.5515 0.2350 -1.9948 -12.6219 0.0400 2.3328 17.7926 2 2 476  
8335 8336 444 0.4450 -2.1079 -11.9734 0.3032 -2.3100 -12.0131 0.0400 2.3336 17.9180 2 2 444  
7746 7747 412 0.6129 -1.4522 -11.5789 0.5502 -1.2935 -11.7617 0.0400 2.3355 18.0430 2 2 412  
7154 7155 380 0.8024 -2.3594 -10.6864 0.8609 -2.6012 -10.7110 0.0400 2.3388 18.1676 2 2 380  
6559 6560 348 0.6836 -0.8528 -10.8429 0.7401 -0.7184 -11.0460 0.0400 2.3433 18.2918 2 2 348  
5959 5960 316 -0.7687 -1.8272 -9.2246 -0.9688 -1.9653 -9.1665 0.0400 2.3490 18.4155 2 2 316  
5354 5355 283 -0.9412 -0.4625 -9.3617 -1.1630 -0.4252 -9.4708 0.0400 2.3561 18.5388 2 2 283  
56 57 1 -0.0859 -2.0438 -14.6658 -0.1176 -2.0487 -14.9138 0.2000 2.3576 20.0000 1 2 1  
4746 4747 250 1.8182 -1.7763 -9.1985 2.0231 -1.8266 -9.3326 0.0400 2.3644 18.6617 2 2 250  
4136 4137 217 2.2001 -0.4101 -8.5305 2.3944 -0.3339 -8.6681 0.0400 2.3740 18.7842 2 2 217  
3522 3523 184 2.3893 -1.4379 -7.9956 2.5593 -1.5212 -8.1589 0.0400 2.3850 18.9062 2 2 184  
57 58 1 -0.1176 -2.0487 -14.9138 -0.1354 -2.0504 -15.0627 0.2000 2.3867 20.0000 1 2 1  
2906 2907 151 -1.1949 -0.2358 -8.2808 -1.3442 -0.1638 -8.4679 0.0400 2.3972 19.0279 2 2 151  
2285 2286 118 -0.3086 -2.5107 -7.6461 -0.2968 -2.5849 -7.8845 0.0400 2.4108 19.1491 2 2 118  
1661 1662 85 2.1280 -0.5284 -7.2256 2.2393 -0.6229 -7.4285 0.0400 2.4257 19.2699 2 2 85  
403 404 17 -2.4275 -1.4190 -5.9138 -2.5496 -1.4042 -6.0714 0.0400 2.4319 19.5103 2 2 17  
58 59 1 -0.1354 -2.0504 -15.0627 -0.1790 -2.0585 -15.3087 0.2000 2.4354 20.0000 1 2 1  
1033 1034 51 2.4036 -0.8555 -6.6185 2.5142 -0.8465 -6.8426 0.0400 2.4419 19.3903 2 2 51  
49 9505 508 0.2795 -1.9313 -13.1733 0.0411 -1.9984 -13.2070 0.0400 2.4587 17.6667 2 2 508  
8922 8923 476 0.2350 -1.9948 -12.6219 0.0085 -2.1003 -12.6305 0.0400 2.4590 17.7926 2 2 476  
8336 8337 444 0.3032 -2.3100 -12.0131 0.2079 -2.5321 -12.0772 0.0400 2.4606 17.9180 2 2 444  
7747 7748 412 0.5502 -1.2935 -11.7617 0.4753 -1.1643 -11.9622 0.0400 2.4634 18.0430 2 2 412  
7155 7156 380 0.8609 -2.6012 -10.7110 0.8994 -2.8442 -10.7553 0.0400 2.4674 18.1676 2 2 380  
